year,type,Employed in the Selection Area,Living in the Selection Area,Net Job Inflow (+) or Outflow (-),Living in the Selection Area,Living and Employed in the Selection Area,Living in the Selection Area but Employed Outside,Employed in the Selection Area,Employed and Living in the Selection Area,Employed in the Selection Area but Living Outside,External Jobs Filled by Residents,Workers Aged 29 or younger,Workers Aged 30 to 54,Workers Aged 55 or older,"Workers Earning $1,250 per month or less","Workers Earning $1,251 to $3,333 per month","Workers Earning More than $3,333 per month","Workers in the ""Goods Producing"" Industry Class","Workers in the ""Trade, Transportation, and Utilities"" Industry Class","Workers in the ""All Other Services"" Industry Class",Internal Jobs Filled by Outside Workers,Workers Aged 29 or younger,Workers Aged 30 to 54,Workers Aged 55 or older,"Workers Earning $1,250 per month or less","Workers Earning $1,251 to $3,333 per month","Workers Earning More than $3,333 per month","Workers in the ""Goods Producing"" Industry Class","Workers in the ""Trade, Transportation, and Utilities"" Industry Class","Workers in the ""All Other Services"" Industry Class",Internal Jobs Filled by Residents,Workers Aged 29 or younger,Workers Aged 30 to 54,Workers Aged 55 or older,"Workers Earning $1,250 per month or less","Workers Earning $1,251 to $3,333 per month","Workers Earning More than $3,333 per month","Workers in the ""Goods Producing"" Industry Class","Workers in the ""Trade, Transportation, and Utilities"" Industry Class","Workers in the ""All Other Services"" Industry Class"
2015,Count,32775,24144,8631,24144,3254,20890,32775,3254,29521,20890,5679,11333,3878,6532,8129,6229,1613,4694,14583,29521,5145,17084,7292,5098,8471,15952,3343,5020,21158,3254,689,1878,687,876,1403,975,422,475,2357
2015,Share,1,0.736659039,-,1,0.134774685,0.865225315,1,0.09928299,0.90071701,1,0.271852561,0.542508377,0.185639062,0.312685495,0.389133557,0.298180948,0.077213978,0.224700814,0.698085208,1,0.174282714,0.578706683,0.247010603,0.172690627,0.286948274,0.540361099,0.113241421,0.17004844,0.716710139,1,0.211739398,0.577135833,0.21112477,0.26920713,0.431161647,0.299631223,0.12968654,0.145974186,0.724339275
2014,Count,30895,23048,7847,23048,2930,20118,30895,2930,27965,20118,5423,10866,3829,6255,7825,6038,1638,4393,14087,27965,4632,16592,6741,4886,7750,15329,3484,4464,20017,2930,578,1684,668,772,1273,885,354,426,2150
2014,Share,1,0.746010681,-,1,0.127125998,0.872874002,1,0.094837352,0.905162648,1,0.269559598,0.540113331,0.19032707,0.310915598,0.388955165,0.300129237,0.081419624,0.218361666,0.70021871,1,0.165635616,0.59331307,0.241051314,0.174718398,0.277132129,0.548149473,0.124584302,0.159628107,0.715787592,1,0.197269625,0.574744027,0.227986348,0.263481229,0.43447099,0.302047782,0.120819113,0.145392491,0.733788396
2013,Count,31240,22462,8778,22462,3069,19393,31240,3069,28171,19393,5064,10834,3495,5674,7991,5728,1580,4244,13569,28171,4986,16826,6359,6343,8166,13662,3372,3924,20875,3069,626,1795,648,946,1371,752,384,408,2277
2013,Share,1,0.719014085,-,1,0.136630754,0.863369246,1,0.098239437,0.901760563,1,0.261125148,0.558655185,0.180219667,0.292579797,0.412055896,0.295364307,0.081472696,0.21884185,0.699685454,1,0.176990522,0.597280892,0.225728586,0.225160626,0.289872564,0.48496681,0.119697561,0.13929218,0.741010259,1,0.203975236,0.584881069,0.211143695,0.308243728,0.446725318,0.245030955,0.12512219,0.132942326,0.741935484
2012,Count,31089,21721,9368,21721,3023,18698,31089,3023,28066,18698,4951,10495,3252,5589,7709,5400,1513,4135,13050,28066,4739,17021,6306,5039,8644,14383,3416,4095,20555,3023,638,1769,616,795,1458,770,355,391,2277
2012,Share,1,0.698671556,-,1,0.139174071,0.860825929,1,0.097236965,0.902763035,1,0.264787678,0.561289978,0.173922345,0.298908974,0.412290085,0.288800941,0.080917745,0.221146647,0.697935608,1,0.168851992,0.606463336,0.224684672,0.179541082,0.307988313,0.512470605,0.121713105,0.145906079,0.732380817,1,0.211048627,0.585180284,0.203771088,0.262983791,0.482302349,0.25471386,0.117433014,0.129341714,0.753225273
2011,Count,29576,22170,7406,22170,2750,19420,29576,2750,26826,19420,5139,10931,3350,5703,8411,5306,1716,4096,13608,26826,4720,16551,5555,4823,9465,12538,3247,3482,20097,2750,615,1621,514,742,1365,643,353,353,2044
2011,Share,1,0.749594266,-,1,0.124041498,0.875958502,1,0.092980795,0.907019205,1,0.264624099,0.562873326,0.172502575,0.293666323,0.433110196,0.273223481,0.088362513,0.210916581,0.700720906,1,0.175948706,0.616976068,0.207075226,0.179788265,0.352829345,0.46738239,0.12103929,0.129799448,0.749161261,1,0.223636364,0.589454545,0.186909091,0.269818182,0.496363636,0.233818182,0.128363636,0.128363636,0.743272727
2010,Count,28217,22378,5839,22378,2687,19691,28217,2687,25530,19691,5042,11326,3323,5634,8541,5516,1763,4068,13860,25530,4755,15727,5048,4457,9318,11755,3265,3725,18540,2687,558,1596,533,677,1371,639,395,422,1870
2010,Share,1,0.793068009,-,1,0.120073286,0.879926714,1,0.095226282,0.904773718,1,0.256056066,0.575186633,0.1687573,0.286120563,0.43375146,0.280127977,0.089533289,0.206591844,0.703874867,1,0.186251469,0.616020368,0.197728163,0.174578927,0.364982374,0.4604387,0.127888758,0.145906776,0.726204465,1,0.207666543,0.593970971,0.198362486,0.251953852,0.510234462,0.237811686,0.147004094,0.157052475,0.695943431
2009,Count,28933,23731,5202,23731,3009,20722,28933,3009,25924,20722,5596,11914,3212,6102,9217,5403,1940,4286,14496,25924,4934,16129,4861,6330,9490,10104,3200,3224,19500,3009,730,1781,498,934,1536,539,426,439,2144
2009,Share,1,0.820205302,-,1,0.126796174,0.873203826,1,0.103998894,0.896001106,1,0.270051153,0.574944503,0.155004343,0.294469646,0.444792974,0.260737381,0.093620307,0.206833317,0.699546376,1,0.190325567,0.622164789,0.187509644,0.244175282,0.366070051,0.389754667,0.123437741,0.124363524,0.752198735,1,0.242605517,0.591890994,0.16550349,0.310402127,0.510468594,0.179129279,0.141575274,0.145895646,0.712529079
2008,Count,32715,26367,6348,26367,3528,22839,32715,3528,29187,22839,6692,12544,3603,6918,9748,6173,2608,4922,15309,29187,6037,17827,5323,5229,10568,13390,3662,3924,21601,3528,878,2066,584,991,1792,745,487,518,2523
2008,Share,1,0.805960569,-,1,0.133803618,0.866196382,1,0.10784044,0.89215956,1,0.293007575,0.549235956,0.157756469,0.302902929,0.426813783,0.270283287,0.114190639,0.21550856,0.670300801,1,0.206838661,0.610785624,0.182375715,0.179155103,0.362079008,0.458765889,0.125466817,0.134443417,0.740089766,1,0.248866213,0.585600907,0.16553288,0.280895692,0.507936508,0.2111678,0.138038549,0.146825397,0.715136054
2007,Count,31797,25715,6082,25715,3423,22292,31797,3423,28374,22292,6354,12429,3509,6949,9600,5743,2729,4693,14870,28374,5880,17518,4976,5417,10786,12171,3651,3922,20801,3423,809,2055,559,927,1789,707,480,500,2443
2007,Share,1,0.808724093,-,1,0.133112969,0.866887031,1,0.107651665,0.892348335,1,0.28503499,0.55755428,0.15741073,0.31172618,0.430647766,0.257626054,0.122420599,0.210523955,0.667055446,1,0.207231973,0.617396208,0.175371819,0.190914217,0.380136745,0.428949038,0.128674138,0.138225136,0.733100726,1,0.23634239,0.60035057,0.163307041,0.270815074,0.522640958,0.206543967,0.14022787,0.146070698,0.713701431
2006,Count,30317,24268,6049,24268,3480,20788,30317,3480,26837,20788,5949,11863,2976,6572,9339,4877,2680,4233,13875,26837,5681,16454,4702,5516,10040,11281,3820,3996,19021,3480,934,1991,555,1065,1745,670,521,553,2406
2006,Share,1,0.800474981,-,1,0.143398714,0.856601286,1,0.114787083,0.885212917,1,0.286174716,0.570665769,0.143159515,0.316143929,0.449249567,0.234606504,0.128920531,0.203627093,0.667452376,1,0.21168536,0.613108768,0.175205872,0.205537132,0.37411037,0.420352498,0.142340798,0.148898908,0.708760294,1,0.268390805,0.572126437,0.159482759,0.306034483,0.501436782,0.192528736,0.149712644,0.158908046,0.69137931
2005,Count,29080,24541,4539,24541,3480,21061,29080,3480,25600,21061,5838,12032,3191,6929,9511,4621,2430,4138,14493,25600,5155,16222,4223,5063,9895,10642,3837,4071,17692,3480,778,2189,513,1132,1653,695,527,636,2317
2005,Share,1,0.843913343,-,1,0.141803512,0.858196488,1,0.119669876,0.880330124,1,0.277194815,0.571292911,0.151512274,0.328996724,0.451592992,0.219410284,0.115379137,0.1964769,0.688143963,1,0.201367188,0.633671875,0.164960938,0.197773438,0.386523438,0.415703125,0.149882813,0.159023438,0.69109375,1,0.223563218,0.629022989,0.147413793,0.325287356,0.475,0.199712644,0.151436782,0.182758621,0.665804598
2004,Count,26847,24668,2179,24668,3179,21489,26847,3179,23668,21489,5759,12408,3322,7094,9840,4555,2589,4172,14728,23668,4836,15049,3783,5138,8985,9545,3733,3794,16141,3179,704,1968,507,910,1657,612,601,545,2033
2004,Share,1,0.918836369,-,1,0.128871412,0.871128588,1,0.118411741,0.881588259,1,0.26799758,0.577411699,0.154590721,0.330122388,0.457908697,0.211968914,0.120480246,0.194145842,0.685373912,1,0.204326517,0.635837418,0.159836066,0.217086361,0.3796265,0.403287139,0.157723509,0.160300828,0.681975663,1,0.221453287,0.619062598,0.159484115,0.286253539,0.521233092,0.192513369,0.189053161,0.171437559,0.63950928
2003,Count,26397,23650,2747,23650,3317,20333,26397,3317,23080,20333,5545,11862,2926,6998,9205,4130,2703,4304,13326,23080,4825,14694,3561,4722,8910,9448,4269,3898,14913,3317,836,2035,446,1045,1672,600,714,645,1958
2003,Share,1,0.895935144,-,1,0.1402537,0.8597463,1,0.125658219,0.874341781,1,0.272709389,0.583386613,0.143903998,0.344169577,0.45271234,0.203118084,0.132936606,0.211675601,0.655387793,1,0.209055459,0.636655113,0.154289428,0.204592721,0.386048527,0.409358752,0.184965338,0.168890815,0.646143847,1,0.252034971,0.61350618,0.134458848,0.315043714,0.504069943,0.180886343,0.215254748,0.194452819,0.590292433
2002,Count,27236,24849,2387,24849,3499,21350,27236,3499,23737,21350,5562,12864,2924,7150,9912,4288,3124,4468,13758,23737,5184,15137,3416,5094,9790,8853,4340,4021,15376,3499,907,2149,443,1077,1931,491,678,668,2153
2002,Share,1,0.912358643,-,1,0.140810495,0.859189505,1,0.128469672,0.871530328,1,0.260515222,0.602529274,0.136955504,0.334894614,0.464262295,0.200843091,0.146323185,0.209274005,0.64440281,1,0.218393226,0.637696423,0.143910351,0.214601677,0.412436281,0.372962042,0.182836921,0.169397986,0.647765092,1,0.259216919,0.614175479,0.126607602,0.307802229,0.551871963,0.140325807,0.193769648,0.190911689,0.615318662
